Investigation_Type,Aircraft_damage,Aircraft_Category,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,Purpose_of_flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Event_Year
Accident,Substantial,Airplane,Swearingen,SA 226-TC,No,2,Turbo Prop,Unknown,0,1,2,12,VMC,1982
Accident,Substantial,Airplane,Beech,C-45H,No,2,Reciprocating,Unknown,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,De Havilland,DHC-2-MK3,No,1,Turbo Prop,Unknown,0,0,0,4,VMC,1982
Accident,Substantial,Airplane,Cessna,150M,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Destroyed,Airplane,Cessna,150M,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,182P,No,1,Reciprocating,Unknown,0,0,1,0,VMC,1982
Accident,Destroyed,Airplane,Convair,440,No,2,Reciprocating,Unknown,0,0,2,1,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-31,No,2,Reciprocating,Unknown,1,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Piper,PA-31T,No,2,Turbo Prop,Personal,0,0,3,0,VMC,1982
Accident,Destroyed,Airplane,Beech,F50,No,2,Reciprocating,Unknown,2,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,150,No,1,Reciprocating,Instructional,0,0,1,1,VMC,1982
Accident,Substantial,Airplane,Cessna,180E,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,170B,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Beech,C23,No,1,Reciprocating,Business,0,2,2,0,VMC,1982
Accident,Destroyed,Airplane,Cessna,172M,No,1,Reciprocating,Personal,1,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Piper,PA-28-180,No,1,Reciprocating,Personal,3,0,0,0,IMC,1982
Accident,Substantial,Airplane,Cessna,180K,No,1,Reciprocating,Business,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,210L,No,1,Reciprocating,Personal,4,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Mooney,M20F,No,1,Reciprocating,Business,1,0,0,0,VMC,1982
Accident,Destroyed,Airplane,Beech,G35,No,1,Reciprocating,Personal,2,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,177B,No,1,Reciprocating,Business,1,2,0,0,Unknown,1982
Accident,Destroyed,Airplane,Grumman,AA5A,No,1,Reciprocating,Personal,3,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Swearingen,SA226-T(B),No,2,Turbo Prop,Executive/corporate,3,0,0,0,IMC,1982
Incident,Minor,Airplane,De Havilland,DHC-6-300,No,2,Turbo Prop,Ferry,0,0,0,1,IMC,1982
Accident,Substantial,Airplane,Piper,AEROSTAR 601P,No,2,Reciprocating,Executive/corporate,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,152,No,1,Reciprocating,Instructional,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,182P,No,1,Reciprocating,Aerial Observation,0,0,1,1,VMC,1982
Accident,Substantial,Airplane,Cessna,177RG,No,1,Reciprocating,Personal,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Cessna,182E,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,150H,No,1,Reciprocating,Personal,0,0,0,1,VMC,1982
Accident,Substantial,Airplane,Cessna,340A,No,2,Reciprocating,Business,0,0,0,2,Unknown,1982
Accident,Substantial,Airplane,Piper,PA-38-112,No,1,Reciprocating,Instructional,0,0,0,2,VMC,1982
Accident,Substantial,Airplane,Canadair,CL-44D4,No,4,Turbo Prop,Unknown,0,0,0,6,VMC,1982
Accident,Substantial,Airplane,Piper,PA-32,No,1,Reciprocating,Unknown,0,0,0,2,VMC,1982
Incident,Minor,Airplane,Piper,PA-31-350,No,2,Reciprocating,Executive/corporate,0,0,0,2,VMC,1982
Accident,Destroyed,Airplane,Beech,58,No,2,Reciprocating,Personal,2,0,0,0,IMC,1982
Accident,Destroyed,Airplane,Cessna,182N,No,1,Reciprocating,Personal,3,0,0,0,IMC,1982
